fecha,anio,mes_num,mes_nombre,departamento,categoria,presupuestado,ejecutado,variacion,variacion_pct
2025-01-01,2025,1,January,Comercial,Nómina,7425000.0,8726000.0,1301000.0,17.5
2025-01-01,2025,1,January,Comercial,Marketing y publicidad,1620000.0,1831000.0,211000.0,13.0
2025-01-01,2025,1,January,Comercial,Tecnología y software,1350000.0,1354000.0,4000.0,0.3
2025-01-01,2025,1,January,Comercial,Viajes y viáticos,1080000.0,1120000.0,40000.0,3.7
2025-01-01,2025,1,January,Comercial,Arrendamientos,1215000.0,1129000.0,-86000.0,-7.1
2025-01-01,2025,1,January,Comercial,Otros gastos operativos,810000.0,810000.0,0.0,0.0
2025-02-01,2025,2,February,Comercial,Nómina,7425000.0,7573000.0,148000.0,2.0
2025-02-01,2025,2,February,Comercial,Marketing y publicidad,1620000.0,1610000.0,-10000.0,-0.6
2025-02-01,2025,2,February,Comercial,Tecnología y software,1350000.0,1474000.0,124000.0,9.2
2025-02-01,2025,2,February,Comercial,Viajes y viáticos,1080000.0,1138000.0,58000.0,5.4
2025-02-01,2025,2,February,Comercial,Arrendamientos,1215000.0,1147000.0,-68000.0,-5.6
2025-02-01,2025,2,February,Comercial,Otros gastos operativos,810000.0,797000.0,-13000.0,-1.6
2025-03-01,2025,3,March,Comercial,Nómina,8250000.0,8798000.0,548000.0,6.6
2025-03-01,2025,3,March,Comercial,Marketing y publicidad,1800000.0,2074000.0,274000.0,15.2
2025-03-01,2025,3,March,Comercial,Tecnología y software,1500000.0,1467000.0,-33000.0,-2.2
2025-03-01,2025,3,March,Comercial,Viajes y viáticos,1200000.0,1043000.0,-157000.0,-13.1
2025-03-01,2025,3,March,Comercial,Arrendamientos,1350000.0,1417000.0,67000.0,5.0
2025-03-01,2025,3,March,Comercial,Otros gastos operativos,900000.0,910000.0,10000.0,1.1
2025-04-01,2025,4,April,Comercial,Nómina,8250000.0,8623000.0,373000.0,4.5
2025-04-01,2025,4,April,Comercial,Marketing y publicidad,1800000.0,1832000.0,32000.0,1.8
2025-04-01,2025,4,April,Comercial,Tecnología y software,1500000.0,1723000.0,223000.0,14.9
2025-04-01,2025,4,April,Comercial,Viajes y viáticos,1200000.0,1217000.0,17000.0,1.4
2025-04-01,2025,4,April,Comercial,Arrendamientos,1350000.0,1303000.0,-47000.0,-3.5
2025-04-01,2025,4,April,Comercial,Otros gastos operativos,900000.0,1064000.0,164000.0,18.2
2025-05-01,2025,5,May,Comercial,Nómina,8250000.0,8381000.0,131000.0,1.6
2025-05-01,2025,5,May,Comercial,Marketing y publicidad,1800000.0,1847000.0,47000.0,2.6
2025-05-01,2025,5,May,Comercial,Tecnología y software,1500000.0,1445000.0,-55000.0,-3.7
2025-05-01,2025,5,May,Comercial,Viajes y viáticos,1200000.0,953000.0,-247000.0,-20.6
2025-05-01,2025,5,May,Comercial,Arrendamientos,1350000.0,1478000.0,128000.0,9.5
2025-05-01,2025,5,May,Comercial,Otros gastos operativos,900000.0,866000.0,-34000.0,-3.8
2025-06-01,2025,6,June,Comercial,Nómina,10313000.0,9816000.0,-497000.0,-4.8
2025-06-01,2025,6,June,Comercial,Marketing y publicidad,2250000.0,2911000.0,661000.0,29.4
2025-06-01,2025,6,June,Comercial,Tecnología y software,1875000.0,1596000.0,-279000.0,-14.9
2025-06-01,2025,6,June,Comercial,Viajes y viáticos,1500000.0,1572000.0,72000.0,4.8
2025-06-01,2025,6,June,Comercial,Arrendamientos,1688000.0,1374000.0,-314000.0,-18.6
2025-06-01,2025,6,June,Comercial,Otros gastos operativos,1125000.0,1058000.0,-67000.0,-6.0
2025-07-01,2025,7,July,Comercial,Nómina,8250000.0,7503000.0,-747000.0,-9.1
2025-07-01,2025,7,July,Comercial,Marketing y publicidad,1800000.0,2403000.0,603000.0,33.5
2025-07-01,2025,7,July,Comercial,Tecnología y software,1500000.0,1738000.0,238000.0,15.9
2025-07-01,2025,7,July,Comercial,Viajes y viáticos,1200000.0,1164000.0,-36000.0,-3.0
2025-07-01,2025,7,July,Comercial,Arrendamientos,1350000.0,1452000.0,102000.0,7.6
2025-07-01,2025,7,July,Comercial,Otros gastos operativos,900000.0,885000.0,-15000.0,-1.7
2025-08-01,2025,8,August,Comercial,Nómina,8250000.0,8845000.0,595000.0,7.2
2025-08-01,2025,8,August,Comercial,Marketing y publicidad,1800000.0,1980000.0,180000.0,10.0
2025-08-01,2025,8,August,Comercial,Tecnología y software,1500000.0,1269000.0,-231000.0,-15.4
2025-08-01,2025,8,August,Comercial,Viajes y viáticos,1200000.0,1005000.0,-195000.0,-16.2
2025-08-01,2025,8,August,Comercial,Arrendamientos,1350000.0,1397000.0,47000.0,3.5
2025-08-01,2025,8,August,Comercial,Otros gastos operativos,900000.0,1082000.0,182000.0,20.2
2025-09-01,2025,9,September,Comercial,Nómina,8250000.0,8619000.0,369000.0,4.5
2025-09-01,2025,9,September,Comercial,Marketing y publicidad,1800000.0,2024000.0,224000.0,12.4
2025-09-01,2025,9,September,Comercial,Tecnología y software,1500000.0,1758000.0,258000.0,17.2
2025-09-01,2025,9,September,Comercial,Viajes y viáticos,1200000.0,1226000.0,26000.0,2.2
2025-09-01,2025,9,September,Comercial,Arrendamientos,1350000.0,1362000.0,12000.0,0.9
2025-09-01,2025,9,September,Comercial,Otros gastos operativos,900000.0,920000.0,20000.0,2.2
2025-10-01,2025,10,October,Comercial,Nómina,8250000.0,8315000.0,65000.0,0.8
2025-10-01,2025,10,October,Comercial,Marketing y publicidad,1800000.0,2065000.0,265000.0,14.7
2025-10-01,2025,10,October,Comercial,Tecnología y software,1500000.0,1306000.0,-194000.0,-12.9
2025-10-01,2025,10,October,Comercial,Viajes y viáticos,1200000.0,1254000.0,54000.0,4.5
2025-10-01,2025,10,October,Comercial,Arrendamientos,1350000.0,1338000.0,-12000.0,-0.9
2025-10-01,2025,10,October,Comercial,Otros gastos operativos,900000.0,997000.0,97000.0,10.8
2025-11-01,2025,11,November,Comercial,Nómina,8250000.0,8136000.0,-114000.0,-1.4
2025-11-01,2025,11,November,Comercial,Marketing y publicidad,1800000.0,1760000.0,-40000.0,-2.2
2025-11-01,2025,11,November,Comercial,Tecnología y software,1500000.0,1487000.0,-13000.0,-0.9
2025-11-01,2025,11,November,Comercial,Viajes y viáticos,1200000.0,1384000.0,184000.0,15.3
2025-11-01,2025,11,November,Comercial,Arrendamientos,1350000.0,1303000.0,-47000.0,-3.5
2025-11-01,2025,11,November,Comercial,Otros gastos operativos,900000.0,828000.0,-72000.0,-8.0
2025-12-01,2025,12,December,Comercial,Nómina,10313000.0,9389000.0,-924000.0,-9.0
2025-12-01,2025,12,December,Comercial,Marketing y publicidad,2250000.0,2404000.0,154000.0,6.8
2025-12-01,2025,12,December,Comercial,Tecnología y software,1875000.0,1824000.0,-51000.0,-2.7
2025-12-01,2025,12,December,Comercial,Viajes y viáticos,1500000.0,1341000.0,-159000.0,-10.6
2025-12-01,2025,12,December,Comercial,Arrendamientos,1688000.0,1915000.0,227000.0,13.4
2025-12-01,2025,12,December,Comercial,Otros gastos operativos,1125000.0,1096000.0,-29000.0,-2.6
